fold,store_id,sku_id,model,mae,mape
20250203_20250210,S02,SKU003,lgbm,12.137706609097442,6.521766335326011
20250203_20250210,S02,SKU004,naive,4.75,2.436227230689792
20250203_20250210,S02,SKU004,seasonal_naive,19.25,9.834098392514296
20250203_20250210,S02,SKU004,sarimax,19.25,9.834098392514296
20250203_20250210,S02,SKU004,lgbm,10.728467571968984,5.438505011335423
20250203_20250210,S02,SKU005,naive,3.75,1.4237915193169974
20250203_20250210,S02,SKU005,seasonal_naive,5.75,2.1532775977193035
20250203_20250210,S02,SKU005,sarimax,5.75,2.1532775977193035
20250203_20250210,S02,SKU005,lgbm,13.406722299996886,5.095606927965092
20250203_20250210,S03,SKU001,naive,3.5,2.242097525116393
20250203_20250210,S03,SKU001,seasonal_naive,11.0,6.902999748911698
20250203_20250210,S03,SKU001,sarimax,11.0,6.902999748911698
20250203_20250210,S03,SKU001,lgbm,5.662716232819399,3.597096771707785
20250203_20250210,S03,SKU002,naive,3.75,2.566405142262974
20250203_20250210,S03,SKU002,seasonal_naive,19.75,13.71821533226203
20250203_20250210,S03,SKU002,sarimax,19.75,13.71821533226203
20250203_20250210,S03,SKU002,lgbm,11.66574651774932,8.119651069853504
20250203_20250210,S03,SKU003,naive,5.25,1.73707811098716
20250203_20250210,S03,SKU003,seasonal_naive,20.0,6.584366865717348
20250203_20250210,S03,SKU003,sarimax,20.0,6.584366865717348
20250203_20250210,S03,SKU003,lgbm,8.152527733513779,2.655061313859613
20250203_20250210,S03,SKU004,naive,4.5,1.51047085500867
20250203_20250210,S03,SKU004,seasonal_naive,18.0,5.968454048285981
20250203_20250210,S03,SKU004,sarimax,18.0,5.968454048285981
20250203_20250210,S03,SKU004,lgbm,6.890170449422087,2.2634665203733384
20250203_20250210,S03,SKU005,naive,1.5,0.6383325490405701
20250203_20250210,S03,SKU005,seasonal_naive,8.75,3.726744525283539
20250203_20250210,S03,SKU005,sarimax,8.75,3.726744525283539
20250203_20250210,S03,SKU005,lgbm,6.923917623885529,2.9510085265240216
20250303_20250310,S01,SKU001,naive,38.75,191.63628831814415
20250303_20250310,S01,SKU001,seasonal_naive,37.5,197.47440525505976
20250303_20250310,S01,SKU001,sarimax,37.5,197.47440525505976
20250303_20250310,S01,SKU001,lgbm,41.37947971396426,188.00021128739544
20250303_20250310,S01,SKU002,naive,76.75,159.67317422375774
20250303_20250310,S01,SKU002,seasonal_naive,69.5,161.02542427732246
20250303_20250310,S01,SKU002,sarimax,69.5,161.02542427732246
20250303_20250310,S01,SKU002,lgbm,77.48039939879519,160.6313052010605
20250303_20250310,S01,SKU003,naive,86.25,182.53585955898095
20250303_20250310,S01,SKU003,seasonal_naive,83.0,171.0135368805889
20250303_20250310,S01,SKU003,sarimax,83.0,171.0135368805889
20250303_20250310,S01,SKU003,lgbm,89.08325750912827,182.8711080562489
20250303_20250310,S01,SKU004,naive,51.25,180.40499284184946
20250303_20250310,S01,SKU004,seasonal_naive,56.75,152.27590505597814
20250303_20250310,S01,SKU004,sarimax,56.75,152.27590505597814
20250303_20250310,S01,SKU004,lgbm,58.84587263782268,168.10843876834915
20250303_20250310,S01,SKU005,naive,73.5,165.74443990970838
20250303_20250310,S01,SKU005,seasonal_naive,69.5,164.41085800565668
20250303_20250310,S01,SKU005,sarimax,69.5,164.41085800565668
20250303_20250310,S01,SKU005,lgbm,64.50749623027146,160.12434982597682
20250303_20250310,S02,SKU001,naive,53.5,152.34657360963982
